start_date,end_date,resp_type,ip_add,progress,dur_sec,finished,rec_date,resp_ID,loc_lat,loc_long,user_lang,agree,bee_country,bee_region,birth_year,gender,educ_highest,bk_years,est_hives,type_hives,type_hives_text,bee_prof,bee_move,insp_hives,atb_int,atb_treat,med_trtmnts,use_atb_for,use_atb_txt,get_atb,get_atb_txt,need_scrp,need_scrp_txt,how_atb,info_atb,info_atb_txt,use_nolab,know_atb,agr_no_eat,know_atb_res,know_resist,atb_fail,agr_work,vet_risk,atb_imp,exp_resist,int_bht,int_otc,prof_groups,bee_train,int_bkconn,add_comm,q_lang,region
2019-03-27 06:45:46,2019-03-27 06:52:46,0,193.205.81.22,100,419,1,2019-03-27 06:52:47,R_3KZKmoBCFDAZ8ac,43.708496,10.403595,EN,1,108,64,10,3,1,21,,2,,5,10,1,"5,3",1,,,,,,,,"1,2",7,,1,5,1,5,4,,,5,,,,,,,,,EN,
2019-04-03 08:11:10,2019-04-03 08:15:45,0,93.147.174.2,100,274,1,2019-04-03 08:15:46,R_24PQ1cmJcrs1R73,41.890396,12.512405,EN,1,177,,66,1,4,14,200,,,5,10,6,"2,4",2,,6,,,,1,,,,,1,6,1,4,4,5,,,,,,,,,,,EN,Continental Europe
2019-04-04 08:54:44,2019-04-04 08:56:08,0,38.132.183.24,100,83,1,2019-04-04 08:56:08,R_2rN0xjd31hOVZAD,36.449997,-81.650597,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-04 09:00:36,2019-04-04 09:02:06,0,38.132.183.24,100,89,1,2019-04-04 09:02:06,R_xyjMQfDdbR0kS2d,36.449997,-81.650597,EN,1,2,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-01 01:05:41,2019-04-01 01:07:57,0,168.202.253.225,12,136,0,2019-04-08 01:07:59,R_2wLkKIlysvAwzGL,,,EN,1,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,Continental Europe
2019-04-03 08:27:56,2019-04-03 08:28:55,0,93.147.174.2,12,58,0,2019-04-10 08:28:59,R_2BbxhJsUrGOieJ0,,,EN,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-04 13:55:50,2019-04-04 14:05:56,0,96.244.195.157,7,606,0,2019-04-11 14:06:06,R_eXbGCy5gzWUVig1,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-12 06:49:46,2019-04-12 07:06:48,0,168.202.253.227,7,1021,0,2019-04-19 07:07:04,R_2YDrBuSqiO39U35,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-19 01:40:10,2019-04-19 01:55:18,0,193.170.48.33,79,907,0,2019-04-26 01:55:54,R_2Qy7uZJq0MNCg2Q,,,EN,1,6,,78,2,1,21,3,6,,5,10,3,5,1,,7,,9,,2,,2,1,,2,3,3,5,5,4,2,4,1,1,,,,,,,EN,
2019-04-19 01:58:17,2019-04-19 02:19:56,0,168.202.253.225,79,1299,0,2019-04-26 02:20:00,R_1InO172mLnAYPTn,,,EN,1,177,,57,2,3,17,10,10,,6,11,8,"2,4",2,,6,,,,1,,2,"1,8,2,3,5",,2,1,1,4,4,5,1,5,3,1,,,,,,,EN,Continental Europe
2019-05-06 00:58:22,2019-05-06 00:59:42,0,193.255.75.220,12,79,0,2019-05-13 01:00:10,R_UrvpTzyOyu4Rwzf,,,EN,1,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-05-16 00:05:26,2019-05-16 00:55:36,0,37.227.157.165,100,3009,1,2019-05-16 00:55:37,R_2D0sIziSSb57yK4,43.147903,12.109695,EN,1,177,,51,1,4,34,5,10,,6,10,7,3,1,,1,,2,,1,,2,1,,3,2,1,4,4,2,1,5,2,1,4,1,,,7,,EN,Continental Europe
2019-05-20 12:18:35,2019-05-20 12:21:18,0,152.10.152.101,12,163,0,2019-05-27 12:21:33,R_2Qtbmg2KoTpEMA0,,,IT,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,
