start_date,end_date,resp_type,ip_add,progress,dur_sec,finished,rec_date,resp_ID,loc_lat,loc_long,user_lang,agree,bee_country,bee_region,birth_year,gender,educ_highest,bk_years,est_hives,type_hives,type_hives_text,bee_prof,bee_move,insp_hives,ex_nosema,ex_af,ex_ef,know_nosema,know_ef,know_af,rec_nos,rec_af,rec_ef,use_nos,use_ef,use_af,use_dys,use_forg,use_dab,use_var,use_feed,use_repq,use_abtc,feas_dys,feas_forg,feas_deb,feas_var,feas_feed,reas_repq,feas_atbc,feas_breed,use_insp,use_odor,use_ropi_afb,use_afb_efb,use_comkit,use_distools,use_procwax,use_prevlab,use_dislab,use_shook,use_shook_all,use_atbc_afb,use_afb_dest,use_dest_all,use_afb_quick,use_afb_q,int_bht,int_otc,prof_groups,bee_train,int_bkconn,add_comm,q_lang,region
2019-03-27 06:52:52,2019-03-27 06:55:09,0,193.205.81.22,100,136,1,2019-03-27 06:55:10,R_3Ez441JqkrRoHyL,43.708496,10.403595,EN,4,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-03-26 10:42:09,2019-03-26 10:43:36,0,152.10.249.201,53,86,0,2019-04-02 10:43:42,R_3CEi942ILlvB3g0,,,EN,4,,,3,1,2,9,54,4,,5,10,8,1,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-03 08:15:49,2019-04-03 08:17:02,0,93.147.174.2,100,72,1,2019-04-03 08:17:03,R_sj9o4apAhpnlU2t,41.890396,12.512405,EN,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-03-28 13:15:00,2019-03-28 13:16:26,0,152.10.249.183,53,85,0,2019-04-04 13:40:16,R_24uPlZJacbqBhcJ,,,EN,4,,,4,1,4,6,5,2,,4,11,4,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-04 09:02:12,2019-04-04 09:02:27,0,38.132.183.24,43,15,0,2019-04-11 09:02:47,R_24vjK9JV137UCNs,,,EN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-04 08:56:17,2019-04-04 09:15:37,8,38.132.183.24,43,1160,0,2019-04-11 09:15:49,R_AsudJo9TwnzT3hv,,,EN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-24 11:35:28,2019-04-24 12:09:11,0,78.190.162.216,100,2023,1,2019-04-24 12:09:12,R_2Bn8p8uEjRBx9Cg,41.050003,27.300003,EN,4,150,,59,1,4,22,250,4,,4,11,7,1,9,8,5,5,5,3,3,3,5,5,5,7,7,7,7,7,7,3,7,7,7,7,7,7,3,,7,7,7,7,7,7,3,,,,,,,,,,4,4,APIMONDIA,,5,,EN,
2019-05-16 01:05:16,2019-05-16 01:12:05,0,37.227.157.165,76,409,0,2019-05-23 01:12:22,R_1hYEUL1CQWA4knm,,,EN,4,4,,1,3,1,8,3,4,,5,10,1,1,9,8,4,2,2,2,2,2,3,2,2,7,7,7,7,7,6,7,5,6,6,7,6,7,7,,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,7,,,,,,,EN,
2019-06-02 10:30:04,2019-06-02 10:38:36,0,5.186.216.55,100,511,1,2019-06-02 10:38:36,R_0kAKiIxSx2GVkSB,55.442596,11.7901,EN,4,162,,27,1,4,44,4,11,Norwegian style,5,11,6,1,9,8,4,4,4,3,3,2,5,5,5,7,6,3,4,5,6,3,6,6,5,6,6,6,3,6,6,6,6,6,5,6,6,5,6,6,6,3,6,4,7,6,4,4,The Danish Beekeepers Associations,a lot,2,very usefull surveys,EN,Continental Europe
2019-06-03 22:08:25,2019-06-03 22:25:51,0,85.10.24.11,100,1045,1,2019-06-03 22:25:51,R_vwYCgaFlYIHiyA1,46.233307,14.166702,EN,4,182,,57,1,4,11,13,"2,11",AZ,5,11,6,1,9,8,3,3,3,3,1,1,4,4,5,7,5,5,6,4,7,3,7,5,5,7,7,7,3,6,5,7,4,3,5,7,7,5,4,3,4,3,4,7,7,7,4,4,,Courses by Beekeeping Association of Slovenia (CZS),3,,EN,Continental Europe
