start_date,end_date,resp_type,ip_add,progress,dur_sec,finished,rec_date,resp_ID,loc_lat,loc_long,user_lang,agree,bee_country,bee_region,birth_year,gender,educ_highest,bk_years,est_hives,type_hives,type_hives_text,bee_prof,bee_move,insp_hives,mites,v_know,v_rec,v_cont_use,v_cont2,v_cont3,v_cont4,v_cont5,v_cont6,v_cont7,v_cont8,v_treat,v_med,med_source,med_source_other,v_scrip,v_scrip_cond,med_proc1,med_proc2,med_proc3,med_proc4,med_proc5,med_proc6,med_proc7,oft_noinst,int_bht,int_otc,prof_groups,bee_train,int_bkconn,add_comm,q_lang,region
2019-03-27 06:55:38,2019-03-27 07:32:32,0,193.205.81.22,77,2214,0,2019-04-03 07:32:34,R_3JxcUhNCT9psOaT,,,EN,4,92,,15,3,1,18,,,,,,,,8,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,EN,
2019-03-28 13:21:24,2019-03-28 17:25:14,0,174.195.148.94,17,14629,0,2019-04-04 17:25:43,R_1hSDMl9tHBwBjG5,,,EN,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-03 08:17:05,2019-04-03 08:28:55,0,93.147.174.2,76,710,0,2019-04-10 08:29:00,R_2w6v8w9ArTFlIrs,,,EN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-04 08:57:17,2019-04-04 09:15:36,0,38.132.183.24,59,1098,0,2019-04-11 09:15:44,R_3fwO4JhZ7GDdnaB,,,EN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,
2019-04-04 09:16:38,2019-04-04 15:38:04,0,216.18.241.51,15,22886,0,2019-04-11 15:38:25,R_RltOMFDY2uJfoVr,,,EN,4,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,North America
2019-04-24 11:35:27,2019-04-24 11:51:31,0,78.190.162.216,100,964,1,2019-04-24 11:51:32,R_2v9fWcJnCTBR1d7,41.050003,27.300003,EN,4,150,,59,1,4,22,250,4,,4,11,6,5,11,6,4,4,4,4,4,4,4,4,1,Powdered Sugar Dusting. Formic Acid. Oxalic Acid. Thymol. Menthol.,"1,2,4",,3,To get knowledge about drug resistance and dosage information.,1,,,1,1,1,1,2,4,4,APIMONDIA web page.,Beekeeper Association and University Courses.,5,,EN,
2019-04-25 02:13:41,2019-04-25 02:31:00,0,194.37.60.35,100,1038,1,2019-04-25 02:31:01,R_1ml2Xbheyrjcj6w,48.216904,16.499695,EN,4,184,,36,1,3,41,3,,,5,11,4,5,11,6,2,2,4,3,,4,4,4,1,a) AMO Varroxal 85% AmeisensÃ¤ure-LÃ¶sung zum Verdunsten; b) ApiBioxal ,6,Beekeeping equipment store,3,According to registration rules,1,2,1,2,1,2,2,4,4,4,https://www.erwerbsimkerbund.at/,Too many to list in 10 minutes to fill in this questionaire!,4,In the questionaire the frame sizes used most frequently in Austria or Germany are not listed; the same is valid for Switzerland; should be added if you want to get answers on that issue.,EN,Continental Europe
2019-04-24 09:18:01,2019-04-24 09:20:04,0,93.147.174.2,15,122,0,2019-05-01 09:20:12,R_oZTPmmGmB1dsHzH,,,IT,4,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,Continental Europe
2019-05-16 00:57:18,2019-05-16 01:05:06,0,37.227.157.165,100,467,1,2019-05-16 01:05:06,R_Q0JiSzPcR7O41kB,43.147903,12.109695,EN,4,3,,50,2,1,10,1000,"4,6,10",,4,10,8,5,9,6,4,4,4,,3,4,4,4,1,,1,,2,,1,,1,,1,,2,2,4,4,,,2,,EN,
2019-05-17 02:16:25,2019-05-17 02:28:21,0,87.65.133.106,100,715,1,2019-05-17 02:28:21,R_21ilLmxcPjgxcYi,50.640594,5.5773926,FR,4,33,,64,1,3,12,15,"2,4,11",congolese hive,4,11,4,5,9,1,3,3,3,3,,4,4,4,2,,,,2,,,,,,,,,,4,4,RACOD Recherche action pour la conservation et le Development,Formation de base en apiculture ; Formation de formateur et dâanimateur apicole,4,"Ici en RDC peu de personne parle l'anglais. L'enquÃªte devrait Ãªtre traduite en franÃ§ais? Je suis formateur en apiculture et j'encadre plus de 150 apiculteurs Ã  l'Est de la RDC. Je connais le varroa mais de maniÃ¨re thÃ©orique car il ne pose pas de problÃ¨me chez nous.  Dans les villages, les apiculteurs n'ont pas de connaissance sur le varroa et les autres maladies qui posent assez peu de problÃ¨me chez nous, c'est pourquoi je ne vois pas l'intÃ©rÃªt de reproduire l'enquÃªte dans les village. De plus, il n'y a pas de connexion internet. Mercci d'avance pour l'envoi de documentation",FR,
